date;tavg;wspd;pres
2023-01-01;13,3;15,3;1017,1
2023-01-02;9,7;10,1;1019,9
2023-01-03;6,8;14,3;1023
2023-01-04;3,1;12,5;1021,4
2023-01-05;6,2;21,2;1004,4
2023-01-06;-1,2;11;1020,8
2023-01-07;-0,2;8,3;1021,4
2023-01-08;0,9;15,2;1016,9
2023-01-09;3,8;11,6;1006,4
2023-01-10;4,8;4,2;1013,3
2023-01-11;3,1;8,3;1019,5
2023-01-12;4,6;11,3;1016,2
2023-01-13;5,1;12,6;1012,5
2023-01-14;4,9;10,2;1016,3
2023-01-15;3,8;16,5;1007,3
2023-01-16;2,8;11,9;1003
2023-01-17;2,7;11;993
2023-01-18;1,9;10,1;993,6
2023-01-19;1,1;6,2;1005,9
2023-01-20;0,3;8,1;1014,4
2023-01-21;0,8;10,7;1017,8
2023-01-22;0,6;5,4;1030,1
2023-01-23;0,8;4,4;1037,2
2023-01-24;1,2;3,9;1039,3
2023-01-25;-0,5;6,3;1033,2
2023-01-26;-0,7;5,7;1023,2
2023-01-27;-1,1;3,8;1022,5
2023-01-28;-0,9;4,8;1024,7
2023-01-29;-0,9;13,4;1021,4
2023-01-30;0,1;17,6;1005
2023-01-31;2;15,2;1007,5
2023-02-01;2,7;18,5;1003,5
2023-02-02;1,6;12,8;1006,9
2023-02-03;-0,6;13,3;1014,4
2023-02-04;-2,2;12,5;1023,5
2023-02-05;-3,2;10,7;1036
2023-02-06;-4,4;6,2;1039,6
2023-02-07;-0,9;9;1040
2023-02-08;-1,2;5,9;1045,6
2023-02-09;-2,8;8,3;1038,5
2023-02-10;-0,4;14,6;1031,1
2023-02-11;2,1;19,1;1023
2023-02-12;0,8;8,7;1034,1
2023-02-13;4,3;14;1031,4
2023-02-14;3,4;13,8;1032,2
2023-02-15;0,8;5,9;1032,1
2023-02-16;1,4;7,4;1022,2
2023-02-17;4,1;11,7;1013,8
2023-02-18;5,5;25,1;1005,9
2023-02-19;2,2;14,4;1011,3
2023-02-20;3;22,5;1008,9
2023-02-21;5,6;23;1004,8
2023-02-22;0,2;8,3;1018,9
2023-02-23;0,8;12,3;1019,1
2023-02-24;4,6;8,7;1002,7
2023-02-25;2,1;8,4;993,5
2023-02-26;-1;12,3;1011,2
2023-02-27;-1,3;5,6;1026,5
2023-02-28;-1,2;4,7;1031,6
2023-03-01;0,5;6,3;1027,4
2023-03-02;-0,3;5,7;1024,1
2023-03-03;-0,1;12,4;1017,9
2023-03-04;-0,1;18,6;1009,3
2023-03-05;-2,5;11,9;1008,2
2023-03-06;-1,7;8,7;1004,9
2023-03-07;0,6;10,5;1000,5
2023-03-08;1,4;13,2;999
2023-03-09;-0,6;6,6;999,5
2023-03-10;3,7;10,4;996,3
2023-03-11;3,7;15,9;992,7
2023-03-12;0,4;16,8;1008,6
2023-03-13;5,5;13,5;1007,8
2023-03-14;10,6;14,9;998,2
2023-03-15;3,8;14;1009,5
2023-03-16;1,2;7,1;1021,5
2023-03-17;2,3;8,4;1025,8
2023-03-18;5,6;14,4;1021,8
2023-03-19;7,9;7,1;1018,6
2023-03-20;8,9;6,6;1015,1
2023-03-21;6,8;7,2;1015,5
2023-03-22;6,9;8,1;1014,6
2023-03-23;13;12,3;1008,7
2023-03-24;12,9;10,5;1006,5
2023-03-25;9,6;8,7;1004
2023-03-26;7;;
2023-03-27;3,1;12;1004,3
2023-03-28;-1;14,7;1013,8
2023-03-29;1,7;12,8;1019,8
2023-03-30;6,7;10,7;1013
2023-03-31;10,7;12,2;1002,5
2023-04-01;9,1;10,2;998,6
2023-04-02;3,7;15;1012
2023-04-03;1,5;17;1023,1
2023-04-04;-1;9,6;1023,6
2023-04-05;0;6,9;1022,7
2023-04-06;1,4;13,8;1019
2023-04-07;7,4;11,7;1016,8
2023-04-08;6,4;5,3;1024,2
2023-04-09;9,7;3,5;1024
2023-04-10;9,3;5,6;1023,4
2023-04-11;9,6;9,9;1015,1
2023-04-12;9,9;5,9;1008,5
2023-04-13;9,1;5,1;1007,2
2023-04-14;9,7;13,9;1009,6
2023-04-15;8,3;16,7;1011,6
2023-04-16;9,5;8,9;1017,9
2023-04-17;8,9;9,6;1022,5
2023-04-18;11,1;9,8;1023,8
2023-04-19;10,1;9,4;1018,2
2023-04-20;13,1;8,5;1020,2
2023-04-21;11,6;8,2;1019,1
2023-04-22;11,3;4,3;1015,7
2023-04-23;13,7;9,3;1012,9
2023-04-24;15,4;11,3;1006,7
2023-04-25;9,9;9,7;1004,5
2023-04-26;6;14,5;1010,7
2023-04-27;5,4;9,9;1018,4
2023-04-28;6,7;5,9;1021,1
2023-04-29;11,1;13;1016,1
2023-04-30;9,6;10,6;1017,3
2023-05-01;8,9;5,7;1021,7
2023-05-02;13;10,7;1017,7
2023-05-03;9,1;7,5;1025
2023-05-04;8,9;3,8;1025,7
2023-05-05;9,6;7,4;1024,2
2023-05-06;7,8;13,8;1024
2023-05-07;6,2;13,9;1025,8
2023-05-08;7,3;5,5;1030,9
2023-05-09;9,6;7,7;1028,6
2023-05-10;11,4;12,8;1023,3
2023-05-11;11,6;13;1023,4
2023-05-12;13,3;12,4;1024,9
2023-05-13;13,6;6,3;1024,7
2023-05-14;15,3;8,9;1021,3
2023-05-15;13,8;14,4;1011,6
2023-05-16;14,8;11,1;1011,6
2023-05-17;11,4;11;1016
2023-05-18;9,5;9,7;1025,2
2023-05-19;12,4;7;1027,1
2023-05-20;17,1;7,9;1026,4
