date;tavg;wspd;pres;day_of_year
01.01.2023;15,1;13,2;1017;1
02.01.2023;10,3;8,1;1019,4;2
03.01.2023;7,2;17,6;1024;3
04.01.2023;2,7;10,4;1021;4
05.01.2023;7,1;24,9;1005,5;5
06.01.2023;0,7;13,5;1020,5;6
07.01.2023;3,9;6;1020,2;7
08.01.2023;3,1;16,5;1014,8;8
09.01.2023;4,7;12,5;1004,8;9
10.01.2023;5,1;12,5;1013,8;10
11.01.2023;2,9;10,7;1018,8;11
12.01.2023;6;9,9;1015;12
13.01.2023;7,2;11,1;1011,1;13
14.01.2023;5,6;8,4;1015,5;14
15.01.2023;5,2;13,8;1005,4;15
16.01.2023;3,2;12,5;1001,6;16
17.01.2023;2,6;9,6;991,7;17
18.01.2023;1,4;13,4;993,5;18
19.01.2023;1,8;7,7;1005,9;19
20.01.2023;1,1;13,2;1014,8;20
21.01.2023;0,9;21,5;1018;21
22.01.2023;1,3;14,9;1029,8;22
23.01.2023;1,3;10,7;1037,2;23
24.01.2023;2,3;6,9;1039,4;24
25.01.2023;-0,7;9;1033,4;25
26.01.2023;-0,1;6,5;1022,8;26
27.01.2023;0,2;8;1022,4;27
28.01.2023;-0,1;11;1025,1;28
29.01.2023;-0,6;14,2;1021,9;29
30.01.2023;1;15,3;1005;30
31.01.2023;2,6;20,1;1008,1;31
01.02.2023;3,4;22,1;1004,1;32
02.02.2023;2,2;17,4;1007,7;33
03.02.2023;-0,4;14,6;1013,6;34
04.02.2023;-1,9;21,7;1024,6;35
05.02.2023;-4;12,7;1037,2;36
06.02.2023;-5,6;7,2;1040,2;37
07.02.2023;-1,6;12,8;1041;38
08.02.2023;-1,5;6;1045,4;39
09.02.2023;-3,1;7,8;1037,9;40
10.02.2023;0,3;14;1031,7;41
11.02.2023;2,8;17,9;1023,9;42
12.02.2023;1,7;12,6;1034,7;43
13.02.2023;4,9;18,3;1032,8;44
14.02.2023;3,6;18,9;1033,7;45
15.02.2023;2,2;7,2;1031,8;46
16.02.2023;1,9;8,9;1022,3;47
17.02.2023;5,9;12,3;1013,6;48
18.02.2023;5,5;28,8;1007,5;49
19.02.2023;2,7;18,9;1012,4;50
20.02.2023;4,2;23,9;1010,1;51
21.02.2023;6,4;28,4;1006,6;52
22.02.2023;1,6;12,3;1019;53
23.02.2023;1,4;13,8;1017,9;54
24.02.2023;4,6;7,7;1002,5;55
25.02.2023;2,7;12,5;993,6;56
26.02.2023;0,4;16,8;1012,1;57
27.02.2023;-0,2;12,2;1026,8;58
28.02.2023;-1,7;4,4;1031,9;59
01.03.2023;0,9;9,3;1027,9;60
02.03.2023;0,5;6,1;1024,3;61
03.03.2023;-1,5;15,4;1018,4;62
04.03.2023;0,8;23,3;1010,5;63
05.03.2023;-2,4;12,2;1008,7;64
06.03.2023;-2,3;6,9;1004,7;65
07.03.2023;1,1;10,5;999,8;66
08.03.2023;1,3;12,9;999,1;67
09.03.2023;-0,1;15,3;999,3;68
10.03.2023;4,8;11,3;994,7;69
11.03.2023;3,3;20;993,8;70
12.03.2023;1,3;19,5;1009,3;71
13.03.2023;6,6;11,1;1006,4;72
14.03.2023;10,2;11,7;997,2;73
15.03.2023;3,7;18,8;1010,5;74
16.03.2023;1,4;9,9;1021,9;75
17.03.2023;3,2;11,6;1024,6;76
18.03.2023;7,4;16,1;1020;77
19.03.2023;8,7;7,2;1017,6;78
20.03.2023;8,7;9,4;1015,3;79
21.03.2023;7;9,8;1015,8;80
22.03.2023;7;8,5;1013,6;81
23.03.2023;12,6;9,9;1008,3;82
24.03.2023;12,8;7,7;1005,8;83
25.03.2023;9,4;9,6;1004;84
26.03.2023;7,6;;;85
27.03.2023;3,1;17,5;1005,1;86
28.03.2023;-1,3;17,1;1015;87
29.03.2023;2,2;12,5;1020,4;88
30.03.2023;7,8;9;1011,8;89
31.03.2023;10,9;11,1;1002,3;90
01.04.2023;8,9;11,6;998,8;91
02.04.2023;4,4;17,9;1013,1;92
03.04.2023;2,6;24,6;1024,6;93
04.04.2023;0,7;14,9;1024,3;94
05.04.2023;0;6,1;1023;95
06.04.2023;2,1;18;1020,3;96
07.04.2023;7,3;16,8;1016,5;97
08.04.2023;8,7;11,6;1023,8;98
09.04.2023;10,7;6,6;1024,1;99
10.04.2023;11,3;7,5;1023,5;100
11.04.2023;10,6;12;1013,8;101
12.04.2023;8,9;8,6;1008,8;102
13.04.2023;10,9;6,7;1005,9;103
14.04.2023;11,9;21,1;1007,9;104
15.04.2023;9,9;20,5;1009,5;105
16.04.2023;10,1;12,3;1017,2;106
17.04.2023;10,9;14,5;1021,7;107
18.04.2023;12,1;16,8;1023,4;108
19.04.2023;9,7;11,3;1018;109
20.04.2023;14,7;15,5;1019,5;110
21.04.2023;14,4;14,4;1018,4;111
22.04.2023;13,7;4,9;1014,8;112
23.04.2023;14,8;12,1;1011,2;113
24.04.2023;15,2;9,9;1005,2;114
25.04.2023;9,4;15,9;1004,7;115
26.04.2023;6,6;19,7;1011;116
27.04.2023;5,8;13,5;1018;117
28.04.2023;7,8;7,3;1019,7;118
29.04.2023;12,3;14,9;1014,2;119
30.04.2023;11,2;18,1;1017,2;120
01.05.2023;10,7;11;1020,3;121
02.05.2023;13;14,6;1017;122
03.05.2023;10,7;12,5;1024,9;123
04.05.2023;10,9;5,7;1024,8;124
05.05.2023;12,2;13,6;1023;125
06.05.2023;8,1;19,7;1022,3;126
07.05.2023;7,6;17,5;1025,3;127
08.05.2023;8,9;8,6;1030;128
09.05.2023;11,2;13,1;1026,8;129
10.05.2023;12,3;20,5;1021,3;130
11.05.2023;13,9;19;1021,3;131
12.05.2023;15,2;20,5;1023,4;132
13.05.2023;16;9,6;1023,7;133
14.05.2023;17,1;15,5;1019,8;134
15.05.2023;13,7;17,7;1009,4;135
16.05.2023;14,4;11,5;1011,2;136
17.05.2023;12,2;14,3;1016,8;137
18.05.2023;10,8;13,8;1025,5;138
19.05.2023;12,3;10,2;1027;139
20.05.2023;18,7;12,5;1025,6;140
